NZDep_Decile,no_charge,pays_with_alternative,scenario,pays_without_alternative
1.0,61,0,1a,
2.0,61,1,1a,
3.0,62,0,1a,
4.0,64,0,1a,
5.0,57,0,1a,
6.0,61,2,1a,
7.0,56,2,1a,
8.0,58,6,1a,
9.0,55,4,1a,
10.0,60,0,1a,
1.0,60,1,1c,
2.0,60,2,1c,
3.0,60,2,1c,
4.0,62,2,1c,
5.0,55,2,1c,
6.0,59,4,1c,
7.0,54,4,1c,
8.0,58,6,1c,
9.0,55,4,1c,
10.0,60,0,1c,
1.0,48,7,2c,6.0
2.0,47,9,2c,6.0
3.0,43,14,2c,5.0
4.0,50,11,2c,3.0
5.0,37,13,2c,7.0
6.0,43,13,2c,7.0
7.0,35,14,2c,9.0
8.0,48,13,2c,3.0
9.0,48,7,2c,4.0
10.0,54,2,2c,4.0
1.0,57,1,3b,3.0
2.0,59,0,3b,3.0
3.0,47,9,3b,6.0
4.0,48,7,3b,9.0
5.0,43,8,3b,6.0
6.0,42,13,3b,8.0
7.0,43,5,3b,10.0
8.0,38,5,3b,21.0
9.0,31,1,3b,27.0
10.0,35,3,3b,22.0
1.0,57,1,3c,3.0
2.0,58,1,3c,3.0
3.0,47,9,3c,6.0
4.0,48,7,3c,9.0
5.0,43,8,3c,6.0
6.0,40,15,3c,8.0
7.0,41,7,3c,10.0
8.0,32,11,3c,21.0
9.0,27,5,3c,27.0
10.0,35,3,3c,22.0
1.0,61,0,3e,0.0
2.0,62,0,3e,0.0
3.0,59,1,3e,2.0
4.0,60,1,3e,3.0
5.0,51,3,3e,3.0
6.0,62,0,3e,1.0
7.0,56,1,3e,1.0
8.0,63,1,3e,0.0
9.0,58,0,3e,1.0
10.0,58,0,3e,2.0
